Age,Academic Pressure,Financial Stress,Depression,Total Stress,High Stress Flag
20.0,3.0,5.0,1.0,8.0,1
21.0,2.963636363636364,3.381818181818182,0.7272727272727273,6.345454545454546,1
22.0,2.8904109589041096,3.1027397260273974,0.5958904109589042,5.993150684931507,0
23.0,3.036697247706422,3.1559633027522938,0.6422018348623854,6.192660550458715,0
24.0,3.1018518518518516,3.3333333333333335,0.6759259259259259,6.435185185185185,1
25.0,3.276315789473684,3.263157894736842,0.5789473684210527,6.539473684210526,1
26.0,3.2254901960784315,3.1666666666666665,0.5784313725490197,6.392156862745098,1
27.0,3.2936507936507935,2.9523809523809526,0.6587301587301587,6.246031746031746,1
28.0,3.2083333333333335,3.1944444444444446,0.5625,6.402777777777779,1
29.0,2.965909090909091,3.0568181818181817,0.45454545454545453,6.0227272727272725,0
30.0,3.0784313725490198,2.9411764705882355,0.5098039215686274,6.019607843137255,0
31.0,3.175438596491228,3.6315789473684212,0.6666666666666666,6.807017543859649,1
32.0,3.208955223880597,2.9402985074626864,0.43283582089552236,6.149253731343284,0
33.0,2.8028169014084505,2.9014084507042255,0.36619718309859156,5.704225352112676,0
34.0,2.8596491228070176,2.824561403508772,0.22807017543859648,5.684210526315789,0
